Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Gender,Price,shipping,Seller Name,Base caliber,Dial,Dial numerals,Confirm Reference Number ,Condition Details,Box,Papers,Country,City
GMT-Master II,126710BLRO,Automatic,Steel,Steel,Unknown,nan,Male,32302,0,Mark Worthington Jewellers,3186,Black,None,126710BLRO,Unknown,No,No,Unknown,Unknown
Day-Date 36,128239,Automatic,White gold,White gold,2022,Used,Male,61256,366,luxurywatches,3135,Blue,None,128239,Very good,Yes,Yes,Sweden,Stockholm
Oyster Perpetual 36,126000,Automatic,Steel,Steel,Unknown,nan,Unknown,14582,102,GMT,Unknown,Green,,126000,Unknown,No,No,Japan,Tokyo
Datejust 36,116233,Automatic,Gold/Steel,Gold/Steel,2008,Used,Male,16797,318,GMG Watches Ltd,3135,Gold,,116233,Very good,Yes,Yes,United Kingdom,London
Sky-Dweller,326935,Automatic,Rose gold,Rose gold,2019,Used,Male,68454,228,WristWready,Unknown,Unknown,,No Reference,Very good,Yes,Yes,Unknown,"Georgia, Atlanta"
Submariner Date,16610,Automatic,Steel,Steel,2007,Used,Male,15212,304,Sea Wave Diamonds,3135,Black,None,16610,Very good,Yes,Yes,Unknown,"New York, New York"
GMT-Master II,116710LN,Automatic,Steel,Steel,2013,Used,Male,25289,0,Hanseatic-Watches,3186,Black,None,116710LN,Very good,Yes,Yes,Germany,Hamburg
Datejust 36,16013,Automatic,Gold/Steel,Gold/Steel,1981,Used,Male,8289,228,Watch Affinity,3035,Gold,None,16013,Good,No,Yes,Unknown,"Texas, Austin"
Datejust 36,116234,Automatic,Steel,Steel,2006,Used,Male,11148,666,Watch M Diamond,3135,Blue,,116234,Very good,Yes,Yes,Italy,Milano
Datejust 31,6827,Automatic,Yellow gold,Yellow gold,1975,Used,Male,11481,499,Luxury Time,Unknown,Gold,None,6827,Very good,No,Yes,Italy,Messina
Oyster Perpetual 36,126000,Automatic,Steel,Steel,2022,Used,Male,21614,331,Special Timepiece,3235,Blue,None,126000,Very good,Yes,Yes,Unknown,Unknown
Explorer II,226570-0001,Automatic,Steel,Steel,2024,Like new & unworn,Male,18968,0,Rovari 1983 Orologi & Gioielli,Unknown,,,226570,Unknown,Yes,Yes,Italy,"Castel Mella , Brescia"
Explorer II,16570,Automatic,Steel,Steel,Unknown,nan,Male,13228,416,EON Watches,3185,White,None,16570,Unknown,No,No,Unknown,Unknown
Yacht-Master,68623,Automatic,Gold/Steel,Gold/Steel,2024,nan,Unknown,12479,0,Icône Watches,Unknown,Blue,None,68623,Unknown,No,No,Unknown,Unknown
Datejust 36,116234,Automatic,Steel,Steel,2005,Used,Male,14308,0,Hanseatic-Watches,3135,Black,None,116234,Very good,Yes,Yes,Germany,Hamburg
Oyster Perpetual Lady Date,6916,Automatic,Steel,Steel,Unknown,nan,Female,4492,0,Icône Watches,Unknown,Grey,None,6916,Unknown,No,No,Unknown,Unknown
Sea-Dweller Deepsea,126660,Automatic,Steel,Steel,2019,Used,Male,16179,291,Wristime Pte Ltd,3235,Black,None,126660,Very good,Yes,Yes,Singapore,Singapore
Oyster Perpetual Lady Date,69160,Automatic,Steel,Steel,Unknown,nan,Female,8652,100,MONDIAL OR,2135,Silver,Roman,69160,Unknown,No,No,Unknown,Unknown
Lady-Datejust,69178,Automatic,Yellow gold,Yellow gold,1991,Used,Female,20799,0,Schmuck an der Kettenbrücke Görtler GmbH,2135,Pink,None,69178,Very good,No,No,Unknown,Unknown
GMT-Master II,126710BLRO,Automatic,Steel,Steel,Unknown,nan,Male,33390,0,Affordable Swiss Watches Inc.,Unknown,Black,None,126710BLRO,Unknown,No,No,Unknown,Unknown
Daytona,116500LN,Automatic,Steel,Steel,2018,Used,Male,40266,832,Costantini,4130,Black,None,116500LN,Very good,Yes,Yes,Italy,Roma
Daytona,116508,Automatic,Yellow gold,Yellow gold,2018,Used,Male,73151,318,GMG Watches Ltd,4130,Black,None,116508,Very good,Yes,Yes,United Kingdom,London
Submariner Date,116610LV,Automatic,Steel,Steel,2018,Used,Male,32699,0,David Mellor Family Jewellers,3135,Green,None,116610LV,Very good,Yes,Yes,United Kingdom,Andover
Datejust 36,1601,Automatic,Steel,Leather,1968,Used,Male,7569,0,Hanseatic-Watches,1570,Unknown,,1601,Good,Yes,Yes,Germany,Hamburg
Datejust 36,16234,Automatic,Steel,Steel,1992,Used,Male,11398,166,CHRONO.dk,3135,Silver,None,16234,Very good,Yes,Yes,Denmark,Hellerup
Yacht-Master 40,126622,Automatic,Steel,Steel,Unknown,nan,Male,24301,151,DavidSW,3235,Blue,None,126622,Unknown,No,No,Unknown,Unknown
Oyster Perpetual Date,15038,Automatic,Yellow gold,Leather,1984,Used,Male,9967,215,Horae srl,Unknown,White,None,15038,Very good,No,No,Unknown,Unknown
Daytona,116520,Automatic,Steel,Steel,Unknown,nan,Male,53244,0,KronologY,4130,White,None,116520,Unknown,No,No,Unknown,Unknown
Day-Date 36,118348,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,50009,151,DavidSW,Unknown,Champagne,None,No Reference,Unknown,No,No,Unknown,Unknown
Datejust 36,16200,Automatic,Steel,Steel,1991,Used,Male,8103,148,Mac time,3135,Blue,,16200,Very good,No,Yes,Italy,Toscana
Submariner Date,126613lb,Automatic,Gold/Steel,Gold/Steel,2023,Used,Male,Unknown,1165,Prezioso Parma,3135,Blue,None,126613lb,Very good,Yes,Yes,Italy,Parma
Submariner Date,126610lv,Automatic,Steel,Steel,Unknown,nan,Male,26338,165,BQ Watches,3135,Black,None,126610lv,Unknown,No,No,Unknown,Unknown
Datejust 31,278273,Automatic,Gold/Steel,Gold/Steel,2023,Like new & unworn,Female,26139,318,GMG Watches Ltd,3135,Green,,278273,Unknown,Yes,Yes,United Kingdom,London
Explorer II,216570,Automatic,Steel,Steel,2020,Used,Male,16264,166,CHRONO.dk,3187,White,None,216570,Very good,Yes,Yes,Denmark,Hellerup
Datejust 41,126333,Automatic,Yellow gold,Gold/Steel,2022,New,Male,29739,0,WM Time LLC,3135,Black,None,126333,Unknown,Yes,Yes,Unknown,"Pennsylvania, Fort Washington"
Submariner,124060,Automatic,Steel,Steel,Unknown,nan,Unknown,18759,102,GMT,Unknown,Black,,124060,Unknown,No,No,Japan,Tokyo
Oyster Perpetual 31,77080,Automatic,Steel,Steel,Unknown,nan,Male,4851,71,Re-sma Inc.,2230,Black,Arabic,77080,Unknown,No,No,Unknown,Unknown
GMT-Master II,116710BLNR,Automatic,Steel,Steel,Unknown,nan,Male,25957,581,Chrono24 Direct,Unknown,Black,None,116710BLNR,Unknown,No,No,Unknown,Unknown
Day-Date 36,18238,Automatic,Yellow gold,Yellow gold,2024,nan,Unknown,28823,0,Watch Club,3055,Gold,None,18238,Unknown,No,No,Unknown,Unknown
Submariner Date,126610LN,Automatic,Steel,Steel,2024,Like new & unworn,Male,22461,250,Conte Orologi,3135,Black,None,126610LN,Unknown,Yes,Yes,Italy,Eur
Explorer I,224270,Automatic,Steel,Steel,Unknown,nan,Male,13531,0,QD Watches,Unknown,,,224270,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 36,126000,Automatic,Steel,Steel,2024,New,Male,17462,165,Amstel Watches,3235,Pink,None,126000,Unknown,Yes,Yes,Unknown,Amsterdam
GMT-Master II,116718,Automatic,Yellow gold,Yellow gold,2019,Used,Male,54763,196,A G Enterprises USA Corp.,3186,Black,None,No Reference,Very good,Yes,Yes,Unknown,"Florida, Aventura"
Day-Date 36,18238,Automatic,Yellow gold,Yellow gold,1990,Used,Male,29933,601,Million-Watches,3055,Blue,None,18238,Good,No,Yes,Germany,Düsseldorf
Submariner,124060,Automatic,Steel,Steel,Unknown,nan,Unknown,19280,102,GMT,Unknown,Black,,124060,Unknown,No,No,Japan,Tokyo
Datejust 36,126233,Automatic,Gold/Steel,Gold/Steel,Unknown,Like new & unworn,Male,27305,0,Luxury Time NYC,3135,Green,,126233,Unknown,Yes,Yes,Unknown,"New York, New York"
Lady-Datejust,279174,Automatic,Steel,Steel,2024,New,Female,22575,608,My Watch LLC,2235,Mother of pearl,,279174,Unknown,Yes,Yes,Unknown,"Michigan, Oak Park, Mi"
Datejust 41,126334,Automatic,White gold,White gold,Unknown,nan,Male,19182,0,Watch Club,3135,Grey,None,126334,Unknown,No,No,Unknown,Unknown
Submariner Date,116610LV,Automatic,Steel,Steel,Unknown,nan,Male,31308,165,BQ Watches,3135,Green,None,116610LV,Unknown,No,No,Unknown,Unknown
Submariner Date,126610lv,Automatic,Steel,Steel,2023,Like new & unworn,Male,23571,373,Tribeca Watch Inc,3135,Black,None,126610lv,Unknown,Yes,Yes,Unknown,"New York, New York City"
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,1991,Used,Male,12130,391,Million-Watches,3135,Red,None,16233,Good,Yes,Yes,Germany,Düsseldorf
Sky-Dweller,326934,Automatic,Steel,Steel,Unknown,nan,Male,30348,0,Affordable Swiss Watches Inc.,3135,White,None,326934,Unknown,No,No,Unknown,Unknown
GMT-Master II,116710BLNR,Automatic,Steel,Steel,Unknown,nan,Male,25434,165,BQ Watches,3186,Black,None,116710BLNR,Unknown,No,No,Unknown,Unknown
Oysterdate Precision,6466,Manual winding,Steel,Steel,1985,Used,Male,7238,166,Watches Management,Unknown,Unknown,,6466,Very good,Yes,Yes,Italy,Rimini
Submariner Date,16610,Automatic,Steel,Steel,1989,Used,Male,17471,83,Langedyk Vintage Watches,3135,Black,None,16610,Very good,Yes,Yes,Unknown,Opmeer
Daytona,116508,Automatic,Yellow gold,Yellow gold,2022,Used,Male,415804,98,Hans-Peter Niesen KG,4130,Black,None,116508,Very good,Yes,Yes,Germany,Dachau
Oyster Perpetual 36,126000,Automatic,Steel,Steel,Unknown,nan,Unknown,14582,102,GMT,Unknown,Green,,126000,Unknown,No,No,Japan,Tokyo
Daytona,116518LN,Automatic,Yellow gold,Rubber,2021,New,Male,61323,318,GMG Watches Ltd,Unknown,Black,None,116518LN,Unknown,Yes,Yes,United Kingdom,London
Datejust 36,116234,Automatic,Steel,Steel,2006,Used,Male,15405,165,Chronofinder Ltd,3135,Black,,116234,Very good,Yes,Yes,United Kingdom,London
GMT-Master II,16710,Automatic,Steel,Steel,1991,Used,Male,19883,248,Grafica Oro Orologi d'epoca e moderni,3185,Black,None,16710,Good,Yes,Yes,Italy,Roma
Lady-Datejust,6917,Automatic,Yellow gold,Yellow gold,Unknown,nan,Female,14958,0,Goldschmiede George GmbH,Unknown,Unknown,,6917,Unknown,No,No,Unknown,Unknown
Sky-Dweller,326933,Automatic,Gold/Steel,Gold/Steel,2020,Used,Male,28895,683,Time of Swiss INC.,3135,Gold,None,326933,Very good,Yes,Yes,Unknown,"California, Los Angeles"
Datejust 31,278240,Automatic,Steel,Steel,2023,New,Female,14984,228,WristWready,Unknown,Unknown,,278240,Unknown,Yes,Yes,Unknown,"Georgia, Atlanta"
Sea-Dweller,126600,Automatic,Steel,Steel,2023,Like new & unworn,Male,19622,0,The Timeless Collector,3135,Black,None,126600,Unknown,Yes,Yes,Unknown,"New York, New York"
Sea-Dweller 4000,16600,Automatic,Steel,Steel,1991,Used,Male,14298,0,Watchflix LA LLC,3135,Black,None,16600,Fair,Yes,Yes,Unknown,"California, Los Angeles"
Datejust 41,126300,Automatic,Steel,Steel,Unknown,nan,Male,18136,298,NÀU GmbH,3135,White,None,126300,Unknown,No,No,Unknown,Unknown
Datejust 36,126233,Automatic,Gold/Steel,Gold/Steel,2021,Used,Male,20799,498,Paul van Zeeland Juweliers,3135,Grey,,126233,Very good,Yes,Yes,Unknown,Velp
Sky-Dweller,326238,Automatic,Yellow gold,Rubber,2022,New,Male,58566,151,Watches OFF 5TH,Unknown,Black,None,326238,Unknown,Yes,Yes,Unknown,"New York, New York"
Sky-Dweller,326934,Automatic,Steel,Steel,Unknown,nan,Male,29739,0,Affordable Swiss Watches Inc.,3135,White,None,326934,Unknown,No,No,Unknown,Unknown
Submariner,124060,Automatic,Steel,Steel,2024,New,Male,20154,0,Timepieces by Labelle,3130,Black,None,124060,Unknown,Yes,Yes,Unknown,"New Jersey, Totowa"
Oyster Perpetual 36,126000,Automatic,Steel,Steel,2023,Like new & unworn,Male,11940,0,The Timeless Collector,3235,Silver,None,126000,Unknown,Yes,Yes,Unknown,"New York, New York"
Datejust 36,116233,Automatic,Steel,Gold/Steel,2004,Used,Male,13689,151,Ademato Jewelry,3135,Yellow,None,116233,Very good,No,No,Unknown,"New York, New York"
Air King,14000,Automatic,Steel,Steel,Unknown,nan,Male,6980,266,FS Luxusuhren,3135,Blue,None,14000,Unknown,No,No,Unknown,Unknown
Sky-Dweller,326933,Automatic,Gold/Steel,Gold/Steel,2022,Like new & unworn,Male,33466,151,Watches OFF 5TH,3135,White,None,326933,Unknown,Yes,Yes,Unknown,"New York, New York"
