Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Gender,Price,shipping,Seller Name,Base caliber,Dial,Dial numerals,Confirm Reference Number ,Condition Details,Box,Papers,Country,City
Explorer II,226570,Automatic,Steel,Steel,Unknown,nan,Male,19015,243,Tarrytown Jewelers,Unknown,White,,226570,Unknown,No,No,Unknown,Unknown
Air King,116900,Automatic,Steel,Steel,2020,Used,Male,12063,115,Vintage Crown,Unknown,Black,Arabic,116900,Very good,Yes,Yes,Italy,Unknown
Oyster Perpetual 36,126000,Automatic,Steel,Steel,2024,Like new & unworn,Male,21599,228,Watch Affinity,3235,Blue,None,126000,Unknown,Yes,Yes,Unknown,"Texas, Austin"
Datejust II,116333,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,16581,151,Don Chrono,3135,Champagne,Roman,116333,Unknown,No,No,Unknown,Unknown
Submariner,114060,Automatic,Steel,Steel,2018,New,Male,20799,125,Vip Chrono Watches SL,3130,Black,None,114060,Unknown,Yes,Yes,Spain,Madrid
Explorer I,224270,Automatic,Steel,Steel,2023,Like new & unworn,Male,15807,0,Ace Jewelers Group,3132,Black,Arabic,224270,Unknown,Yes,Yes,Unknown,Amsterdam
Datejust 36,16014,Automatic,Steel,Steel,1982,Used,Male,10933,0,The Luxury Goods Club Limited,3035,Silver,None,16014,Very good,Yes,Yes,United Kingdom,London
Datejust 36,16220,Automatic,Steel,Steel,2004,Used,Male,8153,108,Magnor,3135,White,Roman,16220,Very good,No,Yes,Romania,Bucharest
Sea-Dweller,126600,Automatic,Steel,Steel,2019,Used,Male,21297,534,Haute Horologe,3135,Black,None,126600,Very good,Yes,Yes,Unknown,Unknown
Day-Date 40,228239,Automatic,White gold,White gold,Unknown,nan,Male,71341,131,UrHandleren.dk,3135,Blue,Roman,228239,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 31,277200,Automatic,Steel,Steel,2023,Like new & unworn,Female,15474,333,Gioielleria Brandizzi,3135,Blue,None,277200,Unknown,Yes,Yes,Italy,Roma
Submariner Date,116613LB,Automatic,Gold/Steel,Gold/Steel,2024,nan,Unknown,23844,194,Universal Value Inc.,3135,Blue,None,116613LB,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,Unknown,nan,Male,23579,243,Tarrytown Jewelers,Unknown,Blue,,126334,Unknown,No,No,Unknown,Unknown
Yacht-Master 42,226659,Automatic,White gold,White gold,Unknown,nan,Male,49401,832,JOAILLERIE PIQUEMAL BARON,3035,Black,None,226659,Unknown,No,No,Unknown,Unknown
Daytona,116518LN,Automatic,Yellow gold,Yellow gold,Unknown,nan,Unknown,57424,151,Jonathan's Fine Jewelers,Unknown,,,116518LN,Unknown,No,No,Unknown,"Texas, Houston"
Submariner Date,116618LB,Automatic,Yellow gold,Yellow gold,2020,Used,Male,57798,373,Tribeca Watch Inc,3135,Blue,None,116618LB,Very good,Yes,Yes,Unknown,"New York, New York City"
Datejust 36,126203,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,20799,581,Patric Nora e.K.,Unknown,Grey,Roman,126203,Unknown,No,No,Unknown,Unknown
Sea-Dweller Deepsea,116660,Automatic,Steel,Steel,2011,Used,Male,17221,228,The Super Rich Concierge,3135,Black,None,116660,Very good,Yes,Yes,Malaysia,Selangor
Lady-Datejust,179174,Automatic,Steel,Steel,2006,Used,Female,10314,0,Hanseatic-Watches,Unknown,Mother of pearl,None,179174,Very good,Yes,Yes,Germany,Hamburg
Submariner Date,126610LV,Automatic,Steel,Steel,Unknown,nan,Unknown,24487,102,GMT,Unknown,Black,,126610lv,Unknown,No,No,Japan,Tokyo
Datejust 36,116234,Automatic,Steel,Steel,2010,Used,Male,13397,104,Png Watch Dealer,3135,Silver,,116234,Good,No,No,Unknown,Unknown
Yacht-Master II,116681,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Unknown,38600,102,GMT,Unknown,White,,116681,Unknown,No,No,Japan,Tokyo
Datejust 41,126334,Automatic,Steel,Steel,2022,Used,Male,25173,194,ROYAL WATCH,Unknown,Grey,,126334,Very good,Yes,Yes,Poland,Kraków
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2024,Like new & unworn,Male,27332,0,Elite watches London ltd,3186,Blue,None,126710BLNR,Unknown,Yes,Yes,United Kingdom,London
Submariner Date,126610lv,Automatic,Steel,Steel,Unknown,Like new & unworn,Male,23419,380,Majestix Collection,3135,Black,None,126610lv,Unknown,Yes,Yes,Unknown,"California, Temple City"
GMT-Master II,126710BLNR,Automatic,Steel,Steel,Unknown,nan,Male,29968,456,Treasurer,3186,Black,None,126710BLNR,Unknown,No,No,Unknown,Unknown
GMT-Master II,116710BLNR,Automatic,Steel,Steel,2016,Like new & unworn,Male,23571,0,Mac Time Chicago,3186,Black,None,116710BLNR,Unknown,Yes,Yes,Unknown,"Illinois, Chicago"
Datejust 36,126234,Automatic,Steel,Steel,Unknown,nan,Male,17486,0,QD Watches,Unknown,,,126234,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,2022,Like new & unworn,Male,20688,761,Giganti & Giganti Fine Jewelry,3135,White,None,126334,Unknown,Yes,Yes,Unknown,"Illinois, Springfield"
Datejust 36,126234,Automatic,Steel,Steel,Unknown,Like new & unworn,Male,22057,0,Luxury Time NYC,3135,Green,None,126234,Unknown,Yes,Yes,Unknown,"New York, New York"
Daytona,126529LN,Automatic,White gold,White gold,Unknown,New,Male,378017,0,Luxury Time NYC,Unknown,Black,None,126529LN,Unknown,Yes,Yes,Unknown,"New York, New York"
Datejust 41,126300,Automatic,Steel,Steel,2020,Used,Male,15212,151,Y&M Jewelry,3135,Blue,None,126300,Very good,Yes,Yes,Unknown,"California, Los Angeles"
Submariner,14060,Automatic,Steel,Steel,1996,Used,Male,16637,0,Watch-auktion,Unknown,Unknown,,14060,Very good,Yes,Yes,Germany,Hamburg
Daytona,116520,Automatic,Steel,Steel,Unknown,nan,Male,65557,316,Orologeria Cavour S.R.L,4130,White,None,116520,Unknown,No,No,Unknown,Unknown
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,1991,Used,Male,8562,104,Png Watch Dealer,3135,Gold,None,16233,Good,No,No,Unknown,Unknown
Sky-Dweller,326934,Automatic,Steel,Steel,Unknown,nan,Unknown,29409,102,GMT,Unknown,Black,,326934,Unknown,No,No,Japan,Tokyo
Daytona,116500LN,Automatic,Steel,Steel,2023,New,Male,44758,98,Amrein Automobile GmbH & Co KG,4130,Black,None,116500LN,Unknown,Yes,Yes,Germany,Lahnstein
Lady-Datejust,69173,Automatic,Gold/Steel,Gold/Steel,1991,Used,Female,7910,151,DH Luxury Time LLC,2135,Black,None,69173,Good,Yes,Yes,Unknown,"Virginia, Roanoke"
Daytona,116500LN,Automatic,Steel,Steel,2023,Like new & unworn,Male,40137,0,Watch Limit,4130,Black,None,116500LN,Unknown,Yes,Yes,Unknown,"New York, New York"
GMT-Master II,116710LN,Automatic,Steel,Steel,2024,nan,Unknown,22462,1664,Edmund Arnold GmbH,3186,Black,None,116710LN,Unknown,No,No,Unknown,Unknown
GMT-Master II,116710BLNR,Automatic,Steel,Steel,2015,Used,Male,23502,0,Rare Time NY,3186,Black,None,116710BLNR,Good,Yes,Yes,Unknown,"New York, New York"
Datejust 31,278273,Automatic,Steel,Gold/Steel,2021,Used,Female,24075,0,Unknown,3135,Grey,,278273,Very good,Yes,Yes,Unknown,Unknown
Submariner Date,16610LV,Automatic,Steel,Steel,2004,Used,Male,39101,148,Top Watches,3135,Black,None,16610LV,Very good,Yes,Yes,Italy,Brescia
Datejust 31,68273,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Female,10815,166,Filipucci Juweliers,Unknown,Unknown,,68273,Unknown,No,No,Unknown,Unknown
Explorer II,16570,Automatic,Steel,Steel,Unknown,nan,Male,12923,151,Watcheslikenew.com,3185,Black,None,16570,Unknown,No,No,Unknown,Unknown
Daytona,116509,Automatic,White gold,White gold,2019,Used,Male,63211,498,WW GmbH & Co. KG,4130,Grey,Arabic,116509,Very good,Yes,Yes,Germany,Düsseldorf
Oyster Perpetual 26,6718,Automatic,Gold/Steel,Steel,1976,Used,Female,5474,215,Horae srl,Unknown,Unknown,,6718,Good,Yes,Yes,Italy,San Giovanni Valdarno
Oyster Perpetual Lady Date,6916,Automatic,Gold/Steel,Gold/Steel,1975,Used,Female,5621,416,La Boutique del Gioiello,Unknown,Gold,None,6916,Very good,Yes,Yes,Italy,Unknown
Datejust 41,126333,Automatic,Gold/Steel,Gold/Steel,Unknown,Like new & unworn,Male,27077,0,Luxury Time NYC,3135,Champagne,None,No Reference,Unknown,Yes,Yes,Unknown,"New York, New York"
Cellini,4310,Manual winding,Yellow gold,Yellow gold,2024,nan,Unknown,15807,448,Tasadores Joyeros,Unknown,,,4310,Unknown,No,No,Unknown,Unknown
Lady-Datejust,279381RBR,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,27437,666,Juwelier Rieger,Unknown,,,279381RBR,Unknown,No,No,Unknown,Unknown
GMT-Master II,126710BLNR,Automatic,Steel,Steel,Unknown,nan,Male,26210,304,Arda and Co.,3186,Black,None,126710BLNR,Unknown,No,No,Unknown,Unknown
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,13418,165,BQ Watches,3135,Champagne,None,16233,Unknown,No,No,Unknown,Unknown
Daytona,116518,Automatic,Yellow gold,Crocodile skin,2001,Used,Male,41431,749,Luigi Rosso S.r.l.,4130,Black,Arabic,116518,Very good,No,No,Unknown,Unknown
Oyster Perpetual 36,126000,Automatic,Steel,Steel,2024,New,Male,13683,683,Time of Swiss INC.,3235,Blue,None,126000,Unknown,Yes,Yes,Unknown,"California, Los Angeles"
Submariner Date,16610,Automatic,Steel,Steel,Unknown,nan,Male,18884,165,BQ Watches,3135,Black,None,16610,Unknown,No,No,Unknown,Unknown
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,1991,Used,Male,12422,197,OG Ltd.,3135,Black,None,16233,Good,Yes,Yes,United Kingdom,London Colney Hertfordshire
Day-Date 36,18038,Automatic,Yellow gold,Yellow gold,1978,Used,Male,25853,190,Austins Watches Inc.,3055,Purple,None,18038,Very good,Yes,Yes,Unknown,"California, Los Angeles"
Datejust 41,126334,Automatic,Steel,Steel,Unknown,nan,Male,24126,166,mostwantedwatches,3235,Green,None,126334,Unknown,No,No,Unknown,Unknown
Cellini,6623,Quartz,Yellow gold,Yellow gold,Unknown,nan,Male,7820,250,Relojes La Hora,6620,Unknown,,6623,Unknown,No,No,Unknown,Unknown
GMT-Master II,126720VTNR,Automatic,Steel,Steel,2023,New,Male,34110,83,Take your luxury,3186,Black,None,126720VTNR,Unknown,Yes,Yes,Italy,Roma
Submariner Date,16610,Automatic,Steel,Steel,Unknown,nan,Male,14892,166,Filipucci Juweliers,Unknown,Unknown,,16610,Unknown,No,No,Unknown,Unknown
Sea-Dweller Deepsea,136660,Automatic,Steel,Steel,Unknown,nan,Unknown,18254,151,Jonathan's Fine Jewelers,Unknown,,,136660,Unknown,No,No,Unknown,"Texas, Houston"
Datejust 31,278271,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Unknown,21856,99,Charles Fish,Unknown,Unknown,,278271,Unknown,No,No,United Kingdom,London
GMT-Master,16700,Automatic,Steel,Steel,2002,Used,Male,19617,131,LM Horlogerie,3185,Black,None,16700,Very good,Yes,Yes,France,Paris
Yacht-Master 40,126622,Automatic,Steel,Steel,2022,Like new & unworn,Male,23579,228,MVP Jewelers Miami,3235,Grey,None,126622,Unknown,Yes,Yes,Unknown,"Florida, Miami"
Day-Date 40,228239,Automatic,White gold,White gold,2024,New,Male,83664,0,Luxury Time Global,3135,Blue,Roman,228239,Unknown,Yes,Yes,Unknown,Pennsylvania
Daytona,6239,Manual winding,Yellow gold,Yellow gold,1968,Used,Male,Unknown,416,World Of Watches ATMOS Roma s.r.l,Unknown,,,No Reference,Very good,No,Yes,Italy,Roma
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2024,New,Male,27437,3103,Deluxury,3186,Black,None,126710BLNR,Unknown,Yes,Yes,Poland,Łódź
Sky-Dweller,336934,Automatic,Steel,Steel,2023,New,Male,31945,151,Watches OFF 5TH,9002,White,None,336934,Unknown,Yes,Yes,Unknown,"New York, New York"
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2023,New,Male,28751,449,Davinci Watches,3186,Black,None,126710BLNR,Unknown,Yes,Yes,Unknown,"Georgia, Atlanta"
Datejust 41,126300,Automatic,Steel,Steel,2023,Like new & unworn,Male,14132,228,Watch Affinity,3135,Silver,None,126300,Unknown,Yes,Yes,Unknown,"Texas, Austin"
Datejust 41,126333,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,27001,152,Fancy Jewellery & Watches,3135,Gold,,126333,Unknown,No,No,Unknown,Unknown
Daytona,116509,Automatic,White gold,White gold,Unknown,nan,Male,76871,2496,Uhren Menze,Unknown,Blue,,116509,Unknown,No,No,Unknown,Unknown
Datejust 36,16234,Automatic,Steel,Steel,Unknown,nan,Male,8537,153,SANOYA,3135,Silver,None,16234,Unknown,No,No,Unknown,Unknown
Oysterdate Precision,6694,Manual winding,Steel,Steel,Unknown,nan,Male,10013,131,UrHandleren.dk,1225,Silver,None,6694,Unknown,No,No,Unknown,Unknown
Yacht-Master II,116680,Automatic,Steel,Steel,2015,Used,Male,29656,228,Luxury Watch Den,4160,White,None,116680,Very good,Yes,Yes,Unknown,"New York, Fairport"
Daytona,16520,Automatic,Steel,Steel,1989,Used,Male,117944,153,complet.co.ltd,Unknown,Black,None,16520,Very good,Yes,Yes,Japan,Osaka Japan
Oyster Perpetual Date,15000,Automatic,Steel,Steel,1986,Used,Male,8153,1331,Consigli d'oro S.A.S.,3035,Silver,None,15000,Very good,No,No,Unknown,Unknown
Submariner Date,126613LN,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,27648,455,Belor Time Legacy,3135,Black,None,126613LN,Unknown,No,No,Unknown,Unknown
Daytona,116523,Automatic,Gold/Steel,Gold/Steel,2012,Used,Male,Unknown,304,First Class Timepieces,4130,Grey,None,116523,Very good,No,No,Unknown,"New York, New York"
Submariner,124060,Automatic,Steel,Steel,2021,Used,Male,21298,391,Horlogerie Maillot,3130,Black,None,124060,Very good,Yes,Yes,France,Paris
GMT-Master II,116718LN,Automatic,Yellow gold,Yellow gold,2014,Used,Male,77960,0,Watch Center - Lugano - Swiss,3186,Green,None,116718LN,Very good,Yes,Yes,Switzerland,Lugano
Submariner Date,126610lv,Automatic,Steel,Steel,2024,New,Male,26622,416,The Watchpoint Ltd,3135,Black,None,126610lv,Unknown,Yes,Yes,Cyprus,Nicosia
Datejust 41,126334,Automatic,Steel,Steel,2024,New,Male,Unknown,110,Swiss Gallery,3135,Grey,,126334,Unknown,Yes,Yes,Canada,Toronto
Daytona,116520,Automatic,Steel,Steel,2007,Like new & unworn,Male,44592,0,Il Duca Orologi srl Milano,4130,Black,None,116520,Unknown,Yes,Yes,Italy,Milano
GMT-Master II,116718LN,Automatic,Yellow gold,Yellow gold,2006,Used,Male,63202,165,Fathom Watches Ltd,3186,Green,None,116718LN,Very good,Yes,Yes,United Kingdom,London
Oyster Perpetual 36,126000,Automatic,Steel,Steel,2023,New,Male,13387,151,LC WATCHES LLC,3235,Blue,None,126000,Unknown,Yes,Yes,Unknown,"New Jersey, Oakhurst"
GMT-Master,16750,Automatic,Steel,Steel,1986,Used,Male,24376,499,ANNIBALI&CO,3135,Black,None,16750,Very good,No,Yes,Italy,Roma
Datejust 36,116233,Automatic,Gold/Steel,Gold/Steel,2007,Used,Male,17342,0,Elegant Jewelers Woodbury NY,3135,Black,,116233,Very good,No,No,Unknown,Unknown
Explorer II,226570,Automatic,Steel,Steel,2015,Used,Male,16198,115,MOON DIAMONDS MADRID SL,3235,Black,None,226570,Very good,Yes,Yes,Spain,Madrid
Oysterdate Precision,6694,Manual winding,Steel,Steel,1979,Used,Male,33333,0,Unknown,1225,Black,None,6694,Good,No,Yes,Australia,Dalkeith
Daytona,116515ln,Automatic,Rose gold,Rubber,2017,Used,Male,54755,151,Jewelry.Haus,4130,Brown,None,116515ln,Good,Yes,Yes,Unknown,"New York, New York"
Oyster Perpetual 36,126000,Automatic,Steel,Steel,2021,Used,Male,20715,0,MAN vs TIME,3235,Red,None,126000,Very good,Yes,Yes,France,Cannes
Lady-Datejust,178273G,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Unknown,18361,102,GMT,Unknown,Silver,,178273,Unknown,No,No,Japan,Tokyo
Daytona,16519,Automatic,White gold,Crocodile skin,1998,Used,Male,89517,0,Il Duca Orologi srl Milano,4130,Blue,,16519,Very good,Yes,Yes,Italy,Milano
Datejust 36,16200,Automatic,Steel,Steel,2001,Used,Male,9651,250,Gianni Simei,3135,Black,,16200,Very good,No,No,Unknown,Unknown
Submariner Date,16618,Automatic,Yellow gold,Yellow gold,2007,Used,Male,44356,105,L'Heure Asch,3135,Blue,None,16618,Very good,Yes,Yes,Switzerland,Genève
Datejust 36,116233,Automatic,Gold/Steel,Gold/Steel,2014,Used,Male,17720,200,Watches Management,3135,Unknown,,116233,Very good,No,No,Unknown,Unknown
Datejust 36,116233,Automatic,Gold/Steel,Gold/Steel,2007,Used,Male,15892,165,THE LUXURY WATCH BOUTIQUE LTD,3135,Champagne,,116233,Good,Yes,Yes,United Kingdom,Essex
Datejust 41,126334,Automatic,Steel,Steel,2019,Used,Male,24003,497,Diamond watches London,3135,Green,None,126334,Very good,Yes,Yes,United Kingdom,London
Day-Date 36,18238,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,31805,165,BQ Watches,3055,Gold,None,18238,Unknown,No,No,Unknown,Unknown
GMT-Master II,126713grnr,Automatic,Steel,Gold/Steel,2024,New,Male,Unknown,110,Swiss Gallery,3186,Black,None,126713grnr,Unknown,Yes,Yes,Canada,Toronto
Datejust 36,16233,Automatic,Gold/Steel,Leather,1991,Used,Male,10399,830,Richters Luxusuhren,3135,Gold,None,16233,Very good,Yes,Yes,Germany,Bornheim
Daytona,126500ln,Automatic,Steel,Steel,2023,New,Male,54573,0,Mac Time Chicago,4131,White,None,126500ln,Unknown,Yes,Yes,Unknown,"Illinois, Chicago"
Sea-Dweller,16660,Automatic,Steel,Steel,Unknown,nan,Male,21131,416,41 WATCH,3135,Black,None,16660,Unknown,No,No,Unknown,Unknown
Oyster Perpetual Date,15200,Automatic,Steel,Steel,Unknown,nan,Male,7479,0,Trophies Watches,3135,Unknown,,15200,Unknown,No,No,Unknown,Unknown
Daytona,116500LN,Automatic,Steel,Steel,2021,New,Male,44725,298,Freddie Keeble Watches & Diamonds,4130,Black,None,116500LN,Unknown,Yes,Yes,United Kingdom,London
Datejust 31,278383RBR,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Female,27686,228,Elegant Jewelry of Patchogue,Unknown,Grey,None,278383RBR,Unknown,No,No,Unknown,Unknown
Air King,14000,Automatic,Steel,Steel,1995,Used,Male,7987,499,ANNIBALI&CO,3135,Silver,None,14000,Very good,No,No,Unknown,Unknown
Datejust 36,16234,Automatic,Steel,Steel,1996,Used,Male,14809,165,F.P. LUXURY WATCHES,3135,Silver,None,16234,Very good,Yes,Yes,Italy,Saronno
Submariner Date,16808,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,43261,416,Maisenbacher Diamantengroßhandel GmbH,Unknown,,,16808,Unknown,No,No,Unknown,Unknown
Datejust 36,116234,Automatic,Steel,Steel,Unknown,nan,Male,14892,98,TE Watches,3135,Blue,,116234,Unknown,No,No,Unknown,Unknown
Datejust II,116334,Automatic,Steel,Steel,Unknown,nan,Male,13310,151,Big Ben Time Zone,3135,Black,None,116334,Unknown,No,No,Unknown,Unknown
Yacht-Master II,116680,Automatic,Steel,Steel,Unknown,nan,Unknown,30614,102,GMT,Unknown,White,,116680,Unknown,No,No,Japan,Tokyo
Submariner Date,116610LV,Automatic,Steel,Steel,Unknown,nan,Male,30424,151,Watch My Diamonds,Unknown,,,116610LV,Unknown,No,No,Unknown,Unknown
Daytona,116520,Automatic,Steel,Steel,2012,Used,Male,38030,122,Veryspecialbrand,4130,Black,None,116520,Very good,Yes,Yes,Unknown,"New York, New York"
Submariner Date,16610,Automatic,Steel,Steel,1989,Used,Male,14146,151,Ari's Luxury Watch,3135,Black,None,16610,Fair,No,Yes,Unknown,"New York, New York"
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,11972,0,Trophies Watches,3135,Gold,None,16233,Unknown,No,No,Unknown,Unknown
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2024,Like new & unworn,Male,28425,165,Talking Time UK LTD,3186,Black,None,126710BLNR,Unknown,Yes,Yes,United Kingdom,London
GMT-Master II,116718LN,Automatic,Yellow gold,Yellow gold,2011,Used,Male,63061,148,Top Watches,3186,Black,None,116718LN,Very good,Yes,Yes,Italy,Brescia
Daytona,116595RBOW,Automatic,Rose gold,Rose gold,Unknown,nan,Male,669326,304,G & G Timepieces,Unknown,White,None,116595RBOW,Unknown,No,No,Unknown,Unknown
GMT-Master II,116710LN,Automatic,Steel,Steel,2009,Like new & unworn,Male,26289,0,Il Duca Orologi srl Milano,3186,Black,None,116710LN,Unknown,Yes,Yes,Italy,Milano
Datejust 36,1601,Automatic,Yellow gold,Steel,1973,Used,Male,14476,333,AG Joaillerie,1570,Champagne,None,1601,Very good,Yes,Yes,France,Annecy
GMT-Master II,126710GRNR,Automatic,Steel,Steel,2024,New,Male,30118,0,Timepieces by Labelle,3186,Black,None,126710GRNR,Unknown,Yes,Yes,Unknown,"New Jersey, Totowa"
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2022,Like new & unworn,Male,26621,761,Giganti & Giganti Fine Jewelry,3135,Yellow,None,124300,Unknown,Yes,Yes,Unknown,"Illinois, Springfield"
Daytona,16523,Automatic,Gold/Steel,Gold/Steel,1991,Used,Male,35596,228,Sam Estate Buyer,4130,White,None,16523,Very good,Yes,Yes,Unknown,"Florida, Ft Lauderdale"
Submariner Date,1680,Automatic,Steel,Steel,Unknown,nan,Male,15973,151,Big Ben Time Zone,1570,Black,None,1680,Unknown,No,No,Unknown,Unknown
GMT-Master II,116710BLNR,Automatic,Steel,Steel,2013,Used,Male,28142,304,Sea Wave Diamonds,3186,Black,None,116710BLNR,Very good,Yes,Yes,Unknown,"New York, New York"
Explorer II,16570,Automatic,Steel,Steel,Unknown,nan,Male,11297,0,BRAND SHOP LIPS,Unknown,,,16570,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,White gold,White gold,Unknown,nan,Male,19547,0,Diamond Banc,3135,Black,None,126334,Unknown,No,No,Unknown,Unknown
Daytona,16528,Automatic,Yellow gold,Yellow gold,1995,Used,Male,71545,499,Conte Orologi,Unknown,Black,None,16528,Very good,Yes,Yes,Italy,Eur
Trench,No Reference,Unknown,Leather,Unknown,Unknown,nan,Male,7530,0,HASHTAGWATCHCO,Unknown,,,No Reference,Unknown,No,Yes,Unknown,"California, Calabasas"
Oyster Perpetual Date,15203,Automatic,Gold/Steel,Gold/Steel,2001,Used,Male,6905,0,Glueck Unlimited S.L.,Unknown,White,None,15203,Very good,No,Yes,Spain,Barcelona
Daytona,6239,Manual winding,Steel,Steel,Unknown,nan,Male,88186,299,PASSIONE VINTAGE,Unknown,Black,None,6239,Unknown,No,No,Unknown,Unknown
Day-Date 40,228238,Automatic,Yellow gold,Yellow gold,2022,Used,Male,77371,499,Roma Time,3135,Black,,228238,Very good,Yes,Yes,Italy,Roma
Sea-Dweller,126603,Automatic,Gold/Steel,Gold/Steel,2023,New,Male,27332,2982,The Zeit Club,3235,Black,None,126603,Unknown,Yes,Yes,United Kingdom,London
Daytona,126508,Automatic,Yellow gold,Yellow gold,2024,New,Male,89009,165,Amstel Watches,4131,Gold,None,126508,Unknown,Yes,Yes,Unknown,Amsterdam
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,1989,Used,Male,10190,196,Timeless Luxury,3135,Black,None,16233,Very good,No,Yes,Unknown,"Georgia, Atlanta"
Explorer I,114270,Automatic,Steel,Steel,2024,nan,Unknown,11564,0,Derbré Horlogerie,Unknown,Black,Arabic,114270,Unknown,No,No,Unknown,Unknown
Datejust 41,126334,Automatic,White gold,White gold,Unknown,nan,Male,19129,455,Belor Time Legacy,3135,Blue,None,126334,Unknown,No,No,Unknown,Unknown
Day-Date 36,18238,Automatic,Yellow gold,Yellow gold,1991,Like new & unworn,Male,34858,83,Langedyk Vintage Watches,3055,Champagne,None,No Reference,Unknown,No,No,Unknown,Unknown
Explorer II,226570,Automatic,Steel,Steel,2022,Like new & unworn,Male,19616,373,Tribeca Watch Inc,Unknown,White,None,226570,Unknown,Yes,Yes,Unknown,"New York, New York City"
GMT-Master II,126710BLRO,Automatic,Steel,Steel,2018,Used,Male,35482,497,Diamond watches London,3186,Black,None,126710BLRO,Very good,Yes,Yes,United Kingdom,London
Explorer II,226570,Automatic,Steel,Steel,Unknown,nan,Male,20466,198,OroGenesi,Unknown,White,None,226570,Unknown,No,No,Unknown,Unknown
Submariner Date,126610lv,Automatic,Steel,Steel,2024,Like new & unworn,Male,25344,165,YB Jewellers,3135,Black,None,126610lv,Unknown,Yes,Yes,United Kingdom,London
Explorer II,216570,Automatic,Steel,Steel,2017,Used,Male,14451,152,Boghossian LLC,3187,White,None,216570,Very good,No,No,Unknown,"New York, New York"
Cellini,4131,Manual winding,Yellow gold,Yellow gold,Unknown,nan,Male,8303,148,PENSIERI PREZIOSI,Unknown,Unknown,,No Reference,Unknown,No,No,Unknown,Unknown
Datejust 31,278274,Automatic,Steel,Steel,2022,New,Female,17970,248,Juwelier Kopp OHG,Unknown,Pink,,278274,Unknown,Yes,Yes,Germany,Heidenheim
Day-Date 40,228235,Automatic,Rose gold,Rose gold,2024,New,Male,83186,165,Amstel Watches,3255,Green,Roman,228235,Unknown,Yes,Yes,Unknown,Amsterdam
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2021,Used,Male,25478,0,Timepieces by Labelle,3186,Black,None,126710BLNR,Very good,Yes,Yes,Unknown,"New Jersey, Totowa"
Datejust 31,278274,Automatic,Gold/Steel,Steel,2024,Like new & unworn,Female,17055,133,KLASSISCHE UHREN KRETZSCHMAR,Unknown,Black,Roman,278274,Unknown,Yes,Yes,Germany,Dresden
Datejust 36,116234,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Unknown,14266,102,GMT,Unknown,Blue,,No Reference,Unknown,No,No,Japan,Tokyo
Datejust 41,126334,Automatic,Steel,Steel,2022,Used,Male,20375,165,PrestigiousJewellers,3135,Blue,None,126334,Good,Yes,Yes,United Kingdom,Leeds
Explorer II,216570,Automatic,Steel,Steel,Unknown,nan,Male,12770,0,QD Watches,Unknown,,,216570,Unknown,No,No,Unknown,Unknown
Yacht-Master 40,16622,Automatic,Steel,Steel,2004,Used,Male,15972,133,Bare Watches,3135,Silver,None,16622,Good,Yes,Yes,Unknown,Oirschot
Datejust 36,126233,Automatic,Yellow gold,Gold/Steel,2021,New,Male,26736,318,GMG Watches Ltd,3135,Champagne,,126233,Unknown,Yes,Yes,United Kingdom,London
Sea-Dweller Deepsea,116660,Automatic,Steel,Steel,2014,Used,Male,17019,152,Paradise Valley Time,3135,Black,None,116660,Good,Yes,Yes,Unknown,"Arizona, Scottsdale"
Yacht-Master,169622,Automatic,Steel,Steel,Unknown,nan,Female,8319,250,Just In Time Watches di Claudio Tassinari,Unknown,Unknown,,169622,Unknown,No,No,Unknown,Unknown
Oyster Perpetual Lady Date,69160,Automatic,Steel,Steel,Unknown,nan,Female,6650,158,Watchoyster SA,2135,Black,Roman,69160,Unknown,No,No,Unknown,Unknown
